title,description,url,adaptive_support,remote_support,test_type,duration_minutes,job_levels,languages,keywords,cleaned_title,combined_text
Restaurant Manager Solution,"the restaurant manager solution is designed for management level positions in the hospitality industry. sample tasks include purchasing food and supplies, accounting, setting policies and procedures, and managing staff. the solution is focused on managing staff, solving problems, making good decisions and maintaining focus on the customer. potential job titles that use this solution are: restaurant manager and general manager. multiple configurations of this solution are available.",https://www.shl.com/products/product-catalog/view/restaurant-manager-solution/,Yes,Yes,"Personality & Behavior, Personality & Behavior, Knowledge & Skills",48,"front line manager, manager, supervisor",english (usa),"restaurant manager, solution restaurant, manager solution, restaurant, manager",Restaurant Manager Solution,"Restaurant Manager Solution is the title, the restaurant manager solution is designed for management level positions in the hospitality industry. sample tasks include purchasing food and supplies, accounting, setting policies and procedures, and managing staff. the solution is focused on managing staff, solving problems, making good decisions and maintaining focus on the customer. potential job titles that use this solution are: restaurant manager and general manager. multiple configurations of this solution are available. Yes, have adaptive support and Yes have remote support. Personality & Behavior, Personality & Behavior, Knowledge & Skills skills, duration is 48 min, it is a front line manager, manager, supervisor in english (usa) language, restaurant manager, solution restaurant, manager solution, restaurant, manager can be used."
Sales Supervisor Solution,"the sales supervisor solution is an assessment used for job candidates applying to entry-level sales leadership positions that generally supervise employees and have a significant portion of their job performance based on sales. sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, promoting products to customers; training subordinates; building ongoing customer relationships; and making day-to-day decisions with minimal guidance from others. potential job titles that use this solution are: assistant sales manager and sales supervisor. multiple configurations of this solution are available.",https://www.shl.com/products/product-catalog/view/sales-supervisor-solution/,Yes,Yes,"Personality & Behavior, Personality & Behavior",38,"front line manager, manager, supervisor",english (usa),"sales supervisor, sales manager, supervisor solution, sales leadership, supervisor",Sales Supervisor Solution,"Sales Supervisor Solution is the title, the sales supervisor solution is an assessment used for job candidates applying to entry-level sales leadership positions that generally supervise employees and have a significant portion of their job performance based on sales. sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, promoting products to customers; training subordinates; building ongoing customer relationships; and making day-to-day decisions with minimal guidance from others. potential job titles that use this solution are: assistant sales manager and sales supervisor. multiple configurations of this solution are available. Yes, have adaptive support and Yes have remote support. Personality & Behavior, Personality & Behavior skills, duration is 38 min, it is a front line manager, manager, supervisor in english (usa) language, sales supervisor, sales manager, supervisor solution, sales leadership, supervisor can be used."
Healthcare Support Specialist Solution,"the healthcare support specialist solution is for entry-level positions in a healthcare environment that do not require the employee to interact with patients. sample tasks for this job include, but are not limited to: preparing food for patients, washing hospital linens, and cleaning the healthcare facility. potential job titles that use this solution are: janitors, food preparation workers, and laundry associates. multiple configurations of this solution are available.",https://www.shl.com/products/product-catalog/view/healthcare-support-specialist-solution/,Yes,Yes,"Personality & Behavior, Personality & Behavior",30,entry-level,english (usa),"healthcare support, support specialist, specialist solution, solution healthcare, positions healthcare",Healthcare Support Specialist Solution,"Healthcare Support Specialist Solution is the title, the healthcare support specialist solution is for entry-level positions in a healthcare environment that do not require the employee to interact with patients. sample tasks for this job include, but are not limited to: preparing food for patients, washing hospital linens, and cleaning the healthcare facility. potential job titles that use this solution are: janitors, food preparation workers, and laundry associates. multiple configurations of this solution are available. Yes, have adaptive support and Yes have remote support. Personality & Behavior, Personality & Behavior skills, duration is 30 min, it is a entry-level in english (usa) language, healthcare support, support specialist, specialist solution, solution healthcare, positions healthcare can be used."
Supervisor - Short Form,"the supervisor solution is an assessment used for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees skills ; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others. potential job titles that use this solution are: team leader, first line supervisor, call center supervisor, and customer service supervisor.",https://www.shl.com/products/product-catalog/view/supervisor-short-form/,Yes,Yes,Knowledge & Skills,57,"front line manager, manager, supervisor",english (usa),"supervisor solution, supervisor, service supervisor, form supervisor, supervisor short",Supervisor Short Form,"Supervisor - Short Form is the title, the supervisor solution is an assessment used for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees skills ; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others. potential job titles that use this solution are: team leader, first line supervisor, call center supervisor, and customer service supervisor. Yes, have adaptive support and Yes have remote support. Knowledge & Skills skills, duration is 57 min, it is a front line manager, manager, supervisor in english (usa) language, supervisor solution, supervisor, service supervisor, form supervisor, supervisor short can be used."
Store Manager 7.0 Solution,"our store manager 7.0 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees in a retail or restaurant setting. sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees skills; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others. report language availability: english (usa), latin american spanish.",https://www.shl.com/products/product-catalog/view/store-manager-7-0-solution/,Yes,Yes,"Personality & Behavior, Ability & Aptitude",34,"front line manager, manager","english (usa), english international, french (canada), latin american spanish","store manager, manager solution, employees retail, supervise hourly, employees skills",Store Manager Solution,"Store Manager 7.0 Solution is the title, our store manager 7.0 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees in a retail or restaurant setting. sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees skills; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others. report language availability: english (usa), latin american spanish. Yes, have adaptive support and Yes have remote support. Personality & Behavior, Ability & Aptitude skills, duration is 34 min, it is a front line manager, manager in english (usa), english international, french (canada), latin american spanish language, store manager, manager solution, employees retail, supervise hourly, employees skills can be used."
.NET MVVM (New),"multi-choice test that measures the knowledge of mvvm pattern, scenarios, data validation, viewmodel communication and quick-start.",https://www.shl.com/products/product-catalog/view/net-mvvm-new/,Yes,Yes,Knowledge & Skills,5,"mid-professional, professional individual contributor",english (usa),"mvvm new, net mvvm, mvvm, knowledge mvvm, mvvm pattern",NET MVVM,".NET MVVM (New) is the title, multi-choice test that measures the knowledge of mvvm pattern, scenarios, data validation, viewmodel communication and quick-start. Yes, have adaptive support and Yes have remote support. Knowledge & Skills skills, duration is 5 min, it is a mid-professional, professional individual contributor in english (usa) language, mvvm new, net mvvm, mvvm, knowledge mvvm, mvvm pattern can be used."
Financial Services Representative Solution,"the financial services representative solution is for senior-level professional positions in the insurance industry that sell life insurance to businesses and individuals on behalf of insurance companies. sample tasks for this position include, but are not limited to: calling on policyholders to deliver and explain policies or suggest additions or changes; calculating premiums; customizing insurance programs to suite individual customers; seeking out new clients and developing clientele by networking; ensuring policy requirements are fulfilled; and conferring with clients to obtain and provide information when calims are made on a policy. potential job titles that use this solution are: life insurance sales professional, insurance sales agent. multiple configurations of this solution are available.",https://www.shl.com/products/product-catalog/view/financial-services-representative-solution/,Yes,Yes,"Personality & Behavior, Personality & Behavior",44,professional individual contributor,english (usa),"services representative, behalf insurance, life insurance, financial services, insurance businesses",Financial Services Representative Solution,"Financial Services Representative Solution is the title, the financial services representative solution is for senior-level professional positions in the insurance industry that sell life insurance to businesses and individuals on behalf of insurance companies. sample tasks for this position include, but are not limited to: calling on policyholders to deliver and explain policies or suggest additions or changes; calculating premiums; customizing insurance programs to suite individual customers; seeking out new clients and developing clientele by networking; ensuring policy requirements are fulfilled; and conferring with clients to obtain and provide information when calims are made on a policy. potential job titles that use this solution are: life insurance sales professional, insurance sales agent. multiple configurations of this solution are available. Yes, have adaptive support and Yes have remote support. Personality & Behavior, Personality & Behavior skills, duration is 44 min, it is a professional individual contributor in english (usa) language, services representative, behalf insurance, life insurance, financial services, insurance businesses can be used."
Entry Level Customer Service 7.1 (International),"the entry level customer service solution (retail and contact center) 7.1 is for entry-level positions in which employees interact with customers by providing information or carrying out customer requests related to an organizations products or services. sample tasks for these jobs include, but are not limited to: interacting with customers on the phone or in person; taking orders; solving product or service issues; and responding positively to difficult or irate customers. important! please note that you will need to select the correct package depending on which norm you intend to use. the package available for this product is international, south africa and americas.",https://www.shl.com/products/product-catalog/view/entry-level-customer-service-%28retail-and-cc%29-7-1/,Yes,Yes,"Ability & Aptitude, Personality & Behavior",19,entry-level,"french, dutch, english (usa), english international, italian, german","level customer, customer service, service solution, interact customers, service international",Entry Level Customer Service,"Entry Level Customer Service 7.1 (International) is the title, the entry level customer service solution (retail and contact center) 7.1 is for entry-level positions in which employees interact with customers by providing information or carrying out customer requests related to an organizations products or services. sample tasks for these jobs include, but are not limited to: interacting with customers on the phone or in person; taking orders; solving product or service issues; and responding positively to difficult or irate customers. important! please note that you will need to select the correct package depending on which norm you intend to use. the package available for this product is international, south africa and americas. Yes, have adaptive support and Yes have remote support. Ability & Aptitude, Personality & Behavior skills, duration is 19 min, it is a entry-level in french, dutch, english (usa), english international, italian, german language, level customer, customer service, service solution, interact customers, service international can be used."
Industrial - Semi-skilled 7.1 (International),"our industrial semi-skilled 7.1 solution is designed for entry-level positions and measures the behaviors and experiences that underlie successful and safe performance for production workers. the solution assesses behaviors and competencies foundational to industrial roles including: following policies and procedures; applying relevant trade skills; wearing required protective equipment; working with or monitoring equipment; producing high quality work; effectively working with others; and maintaining an orderly work environment. potential job titles that use this solution include: production and assembly worker, construction worker, extraction technician. please note this package is in international norm.",https://www.shl.com/products/product-catalog/view/industrial-semi-skilled-7-1-%28international%29/,Yes,Yes,Personality & Behavior,24,entry-level,"french (canada), finnish, english international, french, danish, norwegian, swedish","semi skilled, industrial roles, production workers, industrial semi, worker extraction",Industrial Semiskilled,"Industrial - Semi-skilled 7.1 (International) is the title, our industrial semi-skilled 7.1 solution is designed for entry-level positions and measures the behaviors and experiences that underlie successful and safe performance for production workers. the solution assesses behaviors and competencies foundational to industrial roles including: following policies and procedures; applying relevant trade skills; wearing required protective equipment; working with or monitoring equipment; producing high quality work; effectively working with others; and maintaining an orderly work environment. potential job titles that use this solution include: production and assembly worker, construction worker, extraction technician. please note this package is in international norm. Yes, have adaptive support and Yes have remote support. Personality & Behavior skills, duration is 24 min, it is a entry-level in french (canada), finnish, english international, french, danish, norwegian, swedish language, semi skilled, industrial roles, production workers, industrial semi, worker extraction can be used."
Sales Professional 7.0 Solution,"our sales professional 7.0 solution is designed for entry to mid-level sales positions in which employees proactively sell products to customers, develop relationships with repeat customers, and have their pay and/or performance heavily based on sales revenue. sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and building ongoing customer relationships. report language availability: english (usa).",https://www.shl.com/products/product-catalog/view/sales-professional-7-0-solution/,Yes,Yes,"Ability & Aptitude, Personality & Behavior",21,"mid-professional, professional individual contributor","english international, english (usa), french (canada), latin american spanish","sales professional, solution sales, sales positions, sales, level sales",Sales Professional Solution,"Sales Professional 7.0 Solution is the title, our sales professional 7.0 solution is designed for entry to mid-level sales positions in which employees proactively sell products to customers, develop relationships with repeat customers, and have their pay and/or performance heavily based on sales revenue. sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and building ongoing customer relationships. report language availability: english (usa). Yes, have adaptive support and Yes have remote support. Ability & Aptitude, Personality & Behavior skills, duration is 21 min, it is a mid-professional, professional individual contributor in english international, english (usa), french (canada), latin american spanish language, sales professional, solution sales, sales positions, sales, level sales can be used."
Workplace Safety - Team 7.1 (Americas),"the workplace safety team 7.1 solution is designed for entry-level positions to measure the competencies and experiences that underlie successful and safe performance in a team based work environment. the solution predicts the following types of behaviors and competencies foundational to safety across a wide range of jobs: wearing required protective equipment; working hard and responsibly; safely moving equipment, freight, or other materials; working and communicating effectively with others; taking action when unsafe situations occur; and following policies and procedures industries and environments with entry-level positions that use this solution are: warehouse, healthcare, delivery and logistics, food handling and preparation, assembly and installation, transportation, manufacturing and processing, construction, drivers, oil and gas, and mining.",https://www.shl.com/products/product-catalog/view/workplace-safety-team-7-1-%28americas%29/,Yes,Yes,"Personality & Behavior, Ability & Aptitude, Personality & Behavior",20,"entry-level, general population, professional individual contributor","english (usa), latin american spanish, french (canada)","workplace safety, safety team, safety, unsafe situations, safety wide",Workplace Safety Team,"Workplace Safety - Team 7.1 (Americas) is the title, the workplace safety team 7.1 solution is designed for entry-level positions to measure the competencies and experiences that underlie successful and safe performance in a team based work environment. the solution predicts the following types of behaviors and competencies foundational to safety across a wide range of jobs: wearing required protective equipment; working hard and responsibly; safely moving equipment, freight, or other materials; working and communicating effectively with others; taking action when unsafe situations occur; and following policies and procedures industries and environments with entry-level positions that use this solution are: warehouse, healthcare, delivery and logistics, food handling and preparation, assembly and installation, transportation, manufacturing and processing, construction, drivers, oil and gas, and mining. Yes, have adaptive support and Yes have remote support. Personality & Behavior, Ability & Aptitude, Personality & Behavior skills, duration is 20 min, it is a entry-level, general population, professional individual contributor in english (usa), latin american spanish, french (canada) language, workplace safety, safety team, safety, unsafe situations, safety wide can be used."
Entry level Sales 7.1 (Americas),"the entry level sales 7.1 solution is for entry-level positions in which employees proactively sell products or services to customers and have their compensation and/or performance based on sales revenue. sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and completing a transaction with a customer.",https://www.shl.com/products/product-catalog/view/entry-level-sales-7-1-%28americas%29/,Yes,Yes,"Personality & Behavior, Ability & Aptitude, Personality & Behavior",20,entry-level,portuguese (brazil),"level sales, entry level, sales, sales solution, based sales",Entry level Sales,"Entry level Sales 7.1 (Americas) is the title, the entry level sales 7.1 solution is for entry-level positions in which employees proactively sell products or services to customers and have their compensation and/or performance based on sales revenue. sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and completing a transaction with a customer. Yes, have adaptive support and Yes have remote support. Personality & Behavior, Ability & Aptitude, Personality & Behavior skills, duration is 20 min, it is a entry-level in portuguese (brazil) language, level sales, entry level, sales, sales solution, based sales can be used."
Manager 7.1 (Americas),"our manager 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees. sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees and customers problems. report language availability: english (usa), danish, finnish, canadian french, italian, norwegian, french, german, english international,. important! please note that you will need to select the correct package depending on which norm you intend to use. the package available for this product is international.",https://www.shl.com/products/product-catalog/view/manager-7-1-%28americas%29/,Yes,Yes,"Personality & Behavior, Ability & Aptitude, Personality & Behavior",40,"executive, director, front line manager, manager","portuguese (brazil), french (canada)","senior managers, manager americas, managers, manager, leadership positions",Manager,"Manager 7.1 (Americas) is the title, our manager 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees. sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees and customers problems. report language availability: english (usa), danish, finnish, canadian french, italian, norwegian, french, german, english international,. important! please note that you will need to select the correct package depending on which norm you intend to use. the package available for this product is international. Yes, have adaptive support and Yes have remote support. Personality & Behavior, Ability & Aptitude, Personality & Behavior skills, duration is 40 min, it is a executive, director, front line manager, manager in portuguese (brazil), french (canada) language, senior managers, manager americas, managers, manager, leadership positions can be used."
Industrial - Professional and Skilled 7.0 Solution,"our industrial professional and skilled 7.0 solution is designed to measure the behaviors and experiences that underlie successful and safe performance in the workplace for specialized technical or professional industrial roles. this solution assesses mechanical comprehension and other foundational behaviors including: behaving safely and efficiently in the workplace; installing, repairing, and/or maintaining equipment and machinery; making sound mechanical decisions; maintaining an orderly work environment; and producing high quality and reliable work. report language availability: english (usa), latin american spanish.",https://www.shl.com/products/product-catalog/view/industrial-professional-and-skilled-7-0-solution/,Yes,Yes,Personality & Behavior,49,entry-level,"latin american spanish, english (usa), english international, french (canada)","industrial professional, professional industrial, workplace specialized, professional skilled, assesses mechanical",Industrial Professional and Skilled Solution,"Industrial - Professional and Skilled 7.0 Solution is the title, our industrial professional and skilled 7.0 solution is designed to measure the behaviors and experiences that underlie successful and safe performance in the workplace for specialized technical or professional industrial roles. this solution assesses mechanical comprehension and other foundational behaviors including: behaving safely and efficiently in the workplace; installing, repairing, and/or maintaining equipment and machinery; making sound mechanical decisions; maintaining an orderly work environment; and producing high quality and reliable work. report language availability: english (usa), latin american spanish. Yes, have adaptive support and Yes have remote support. Personality & Behavior skills, duration is 49 min, it is a entry-level in latin american spanish, english (usa), english international, french (canada) language, industrial professional, professional industrial, workplace specialized, professional skilled, assesses mechanical can be used."
Contact Center Team Lead/Coach - Short Form,"the contact center - team lead/coach solution is for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. sample tasks for these jobs include, but are not limited to: planning and preparing work schedules; assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks; developing employees skills; training subordinates or less tenured peers; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others. potential job titles that use this solution are: team leader, coach, first line supervisor, processing supervisor, call center supervisor, and customer service supervisor.",https://www.shl.com/products/product-catalog/view/contact-center-team-leadcoach-short-form/,Yes,Yes,"Personality & Behavior, Personality & Behavior, Knowledge & Skills",45,"front line manager, professional individual contributor, supervisor",english (usa),"duties coaching, leader coach, coaching employees, leadership positions, center supervisor",Contact Center Team LeadCoach Short Form,"Contact Center Team Lead/Coach - Short Form is the title, the contact center - team lead/coach solution is for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. sample tasks for these jobs include, but are not limited to: planning and preparing work schedules; assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks; developing employees skills; training subordinates or less tenured peers; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others. potential job titles that use this solution are: team leader, coach, first line supervisor, processing supervisor, call center supervisor, and customer service supervisor. Yes, have adaptive support and Yes have remote support. Personality & Behavior, Personality & Behavior, Knowledge & Skills skills, duration is 45 min, it is a front line manager, professional individual contributor, supervisor in english (usa) language, duties coaching, leader coach, coaching employees, leadership positions, center supervisor can be used."
Host Solution,"the host solution is designed for entry level positions in the hospitality industry. sample tasks include greeting guests, managing wait lists and showing guests to their tables. the solution is focused on work ethic and customer focus. potential job titles that use this solution are: host, hostess and greeter. there are multiple configurations and versions of this solution available.",https://www.shl.com/products/product-catalog/view/host-solution/,Yes,Yes,"Personality & Behavior, Personality & Behavior",30,entry-level,english (usa),"host solution, host hostess, solution host, guests managing, host",Host Solution,"Host Solution is the title, the host solution is designed for entry level positions in the hospitality industry. sample tasks include greeting guests, managing wait lists and showing guests to their tables. the solution is focused on work ethic and customer focus. potential job titles that use this solution are: host, hostess and greeter. there are multiple configurations and versions of this solution available. Yes, have adaptive support and Yes have remote support. Personality & Behavior, Personality & Behavior skills, duration is 30 min, it is a entry-level in english (usa) language, host solution, host hostess, solution host, guests managing, host can be used."
Professional + 7.1 (International),"our professional 7.1 solution is designed for all non-managerial professional individual contributor positions, and includes shls new innovative mobile-first ability assessment, verify interactive deductive reasoning. sample tasks for these jobs include, but are not limited to: gathering requirements, analyzing data, managing projects, producing products or services.",https://www.shl.com/products/product-catalog/view/professional-7-1-solution/,Yes,Yes,"Personality & Behavior, Ability & Aptitude, Personality & Behavior",56,"general population, mid-professional, professional individual contributor","chinese traditional, dutch, chinese simplified, french, english international, swedish, italian, norwegian, danish, english (usa), french (canada), portuguese (brazil), spanish, german, portuguese, finnish","professional individual, professional, professional solution, international professional, managerial professional",Professional,"Professional + 7.1 (International) is the title, our professional 7.1 solution is designed for all non-managerial professional individual contributor positions, and includes shls new innovative mobile-first ability assessment, verify interactive deductive reasoning. sample tasks for these jobs include, but are not limited to: gathering requirements, analyzing data, managing projects, producing products or services. Yes, have adaptive support and Yes have remote support. Personality & Behavior, Ability & Aptitude, Personality & Behavior skills, duration is 56 min, it is a general population, mid-professional, professional individual contributor in chinese traditional, dutch, chinese simplified, french, english international, swedish, italian, norwegian, danish, english (usa), french (canada), portuguese (brazil), spanish, german, portuguese, finnish language, professional individual, professional, professional solution, international professional, managerial professional can be used."
Prep/Line Cook Solution,"the prep/line cook solution is for entry-level food preparation positions in the hospitality industry. sample tasks include preparing ingredients and final food items for consumption. the solution is focused on work ethic and performing quality work with no direct customer contact or sales requirements. potential job titles that use this solution are: cook, line cook, food preparer, prep cook and chef. multiple configurations of this solution are available.",https://www.shl.com/products/product-catalog/view/prepline-cook-solution/,Yes,Yes,"Personality & Behavior, Personality & Behavior",24,entry-level,english (usa),"prep cook, cook line, line cook, cook solution, solution cook",PrepLine Cook Solution,"Prep/Line Cook Solution is the title, the prep/line cook solution is for entry-level food preparation positions in the hospitality industry. sample tasks include preparing ingredients and final food items for consumption. the solution is focused on work ethic and performing quality work with no direct customer contact or sales requirements. potential job titles that use this solution are: cook, line cook, food preparer, prep cook and chef. multiple configurations of this solution are available. Yes, have adaptive support and Yes have remote support. Personality & Behavior, Personality & Behavior skills, duration is 24 min, it is a entry-level in english (usa) language, prep cook, cook line, line cook, cook solution, solution cook can be used."
Professional 8.0 JFA,the professional 8.0 job-focused assessment is designed for all non-managerial professional/individual contributor positions. it measures behaviors that underlie successful performance in a professional/individual contributor setting across a wide range of industries.,https://www.shl.com/products/product-catalog/view/professional-8-0-jfa/,Yes,Yes,"Personality & Behavior, Knowledge & Skills, Personality & Behavior",16,professional individual contributor,"english international, english (usa)","professional jfa, jfa professional, jfa, focused assessment, assessment",Professional JFA,"Professional 8.0 JFA is the title, the professional 8.0 job-focused assessment is designed for all non-managerial professional/individual contributor positions. it measures behaviors that underlie successful performance in a professional/individual contributor setting across a wide range of industries. Yes, have adaptive support and Yes have remote support. Personality & Behavior, Knowledge & Skills, Personality & Behavior skills, duration is 16 min, it is a professional individual contributor in english international, english (usa) language, professional jfa, jfa professional, jfa, focused assessment, assessment can be used."
Gaming Manager Solution,"the gaming manager solution is designed for management level positions within the hospitality industry. sample tasks include managing operations, supervisors and associates within gaming environments. the solution is focused on security, integrity and managing sales. potential job titles that use this solution are: gaming floor manager and gaming manager. multiple configurations of this solution are available.",https://www.shl.com/products/product-catalog/view/gaming-manager-solution/,Yes,Yes,"Knowledge & Skills, Personality & Behavior, Knowledge & Skills, Personality & Behavior",55,"front line manager, manager, supervisor",english (usa),"gaming manager, manager gaming, manager solution, gaming environments, solution gaming",Gaming Manager Solution,"Gaming Manager Solution is the title, the gaming manager solution is designed for management level positions within the hospitality industry. sample tasks include managing operations, supervisors and associates within gaming environments. the solution is focused on security, integrity and managing sales. potential job titles that use this solution are: gaming floor manager and gaming manager. multiple configurations of this solution are available. Yes, have adaptive support and Yes have remote support. Knowledge & Skills, Personality & Behavior, Knowledge & Skills, Personality & Behavior skills, duration is 55 min, it is a front line manager, manager, supervisor in english (usa) language, gaming manager, manager gaming, manager solution, gaming environments, solution gaming can be used."
Cashier Solution,"the cashier solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. sample tasks for these jobs include, but are not limited to: handling payments, offering customer service, and issuing receipts and refunds. potential job titles that use this solution are: cashier, sales associate, and clerk. there are multiple configurations and versions of this solution available.",https://www.shl.com/products/product-catalog/view/cashier-solution/,Yes,Yes,"Personality & Behavior, Personality & Behavior",28,entry-level,english (usa),"cashier solution, solution cashier, cashier sales, cashier, cash check",Cashier Solution,"Cashier Solution is the title, the cashier solution is for entry-level retail positions in which employees receive payment in the form of cash, check, or credit cards for goods purchased. sample tasks for these jobs include, but are not limited to: handling payments, offering customer service, and issuing receipts and refunds. potential job titles that use this solution are: cashier, sales associate, and clerk. there are multiple configurations and versions of this solution available. Yes, have adaptive support and Yes have remote support. Personality & Behavior, Personality & Behavior skills, duration is 28 min, it is a entry-level in english (usa) language, cashier solution, solution cashier, cashier sales, cashier, cash check can be used."
Event Sales Manager Solution,"the event sales manager solution is designed for management level positions in the hospitality industry. sample tasks include selling use of facility space for special events and managing staff. the solution is focused on sales, solving problems and making good decisions. potential job titles that use this solution are: event sales manager, events manager and special events manager. multiple configurations of this solution are available.",https://www.shl.com/products/product-catalog/view/event-sales-manager-solution/,Yes,Yes,"Knowledge & Skills, Personality & Behavior, Personality & Behavior",50,"supervisor, front line manager, manager",english (usa),"events manager, events managing, manager events, event sales, manager solution",Event Sales Manager Solution,"Event Sales Manager Solution is the title, the event sales manager solution is designed for management level positions in the hospitality industry. sample tasks include selling use of facility space for special events and managing staff. the solution is focused on sales, solving problems and making good decisions. potential job titles that use this solution are: event sales manager, events manager and special events manager. multiple configurations of this solution are available. Yes, have adaptive support and Yes have remote support. Knowledge & Skills, Personality & Behavior, Personality & Behavior skills, duration is 50 min, it is a supervisor, front line manager, manager in english (usa) language, events manager, events managing, manager events, event sales, manager solution can be used."
Sales Director Solution,"the sales director solution is for mid- to senior-level sales management positions that oversee the sales function across multiple offices or geographic territories. sample tasks for these jobs include, but are not limited to: directing a group of sales supervisors or sales managers, having profit and loss responsibility for a district or region, and aligning work with overall company goals. potential job titles that use this solution are: regional sales director, district sales manager, and sales director. multiple configurations of this solution are available.",https://www.shl.com/products/product-catalog/view/sales-director-solution/,Yes,Yes,"Personality & Behavior, Personality & Behavior",59,"director, front line manager, manager",english (usa),"sales director, sales managers, sales management, sales manager, sales supervisors",Sales Director Solution,"Sales Director Solution is the title, the sales director solution is for mid- to senior-level sales management positions that oversee the sales function across multiple offices or geographic territories. sample tasks for these jobs include, but are not limited to: directing a group of sales supervisors or sales managers, having profit and loss responsibility for a district or region, and aligning work with overall company goals. potential job titles that use this solution are: regional sales director, district sales manager, and sales director. multiple configurations of this solution are available. Yes, have adaptive support and Yes have remote support. Personality & Behavior, Personality & Behavior skills, duration is 59 min, it is a director, front line manager, manager in english (usa) language, sales director, sales managers, sales management, sales manager, sales supervisors can be used."
Microsoft Outlook 2013 (adaptive),"the microsoft outlook 2013 (adaptive) test measures knowledge of microsoft outlook 2013. designed for professionals, this test includes the following topics: application management, contacts and address books, mail management, messages and message organization, notes, printing, schedules and calendars, security, and tasks.",https://www.shl.com/products/product-catalog/view/microsoft-outlook-2013-adaptive/,Yes,Yes,Knowledge & Skills,25,"mid-professional, professional individual contributor",english (usa),"outlook 2013, microsoft outlook, adaptive microsoft, outlook, adaptive test",Microsoft Outlook,"Microsoft Outlook 2013 (adaptive) is the title, the microsoft outlook 2013 (adaptive) test measures knowledge of microsoft outlook 2013. designed for professionals, this test includes the following topics: application management, contacts and address books, mail management, messages and message organization, notes, printing, schedules and calendars, security, and tasks. Yes, have adaptive support and Yes have remote support. Knowledge & Skills skills, duration is 25 min, it is a mid-professional, professional individual contributor in english (usa) language, outlook 2013, microsoft outlook, adaptive microsoft, outlook, adaptive test can be used."
C++ Programming (New),multi-choice test that measures the knowledge of programming in the c language and the ability to use the c standard library to write code.,https://www.shl.com/products/product-catalog/view/c-programming-new-4122/,Yes,Yes,Knowledge & Skills,10,"mid-professional, professional individual contributor",english (usa),"programming new, programming language, programming, choice test, new multi",C Programming,"C++ Programming (New) is the title, multi-choice test that measures the knowledge of programming in the c language and the ability to use the c standard library to write code. Yes, have adaptive support and Yes have remote support. Knowledge & Skills skills, duration is 10 min, it is a mid-professional, professional individual contributor in english (usa) language, programming new, programming language, programming, choice test, new multi can be used."
