title,description,job_levels,languages,duration_minutes,test_type,is_remote,url,is_adaptive
Technician/Technologist Solution,"the technician/technologist solution is for positions in a healthcare environment that perform medical tests to aide in the treatment of patients. sample tasks for this job include, but are not limited to: collecting samples of bodily fluids, completing x-rays on patients, conducting analysis using medical machines, and entering results of medical tests into a computer. potential job titles that use this solutionare: radiologic technician, medical technologist/technician, and laboratory technologist. multiple configurations of this solution are available.","['Mid-Professional', '']","['English (USA)', '']",52,"['Ability', 'Behavioral', 'Personality']",TRUE,https://www.shl.com/products/product-catalog/view/techniciantechnologist-solution/,TRUE
Professional/Individual Contributor - Short Form,"the professional/individual contributor solution is for mid to upper-level, non-managerial positions. sample tasks for these jobs include, but are not limited to: meeting with clients to determine their needs, analyzing data sets, and working with co-workers to complete projects. potential job titles that use this solution are: engineer, human resource consultant, and it analyst.","['Mid-Professional', ' Professional Individual Contributor', '']","['English (USA)', '']",44,"['Ability', 'Behavioral', 'Personality', 'Skills']",TRUE,https://www.shl.com/products/product-catalog/view/professionalindividual-contributor-short-form/,TRUE
Insurance Administrative Assistant Solution,"the administrative assistant solution is for entry-level clerical positions that interact with external or internal customers. sample tasks for this job include, but are not limited to: answering telephones; managing files and records; sorting mail; handling information requests; greeting customers; and collaborating with co-workers on projects. potential job titles that use this solution are: receptionist and administrative assistant. multiple configurations of this solution are available.","['Entry-Level', '']","['English (USA)', '']",24,"['Ability', 'Behavioral', 'Personality', 'Skills']",TRUE,https://www.shl.com/products/product-catalog/view/insurance-administrative-assistant-solution/,TRUE
Workplace Safety - Team 7.1 (International),"the workplace safety team 7.1 solution is designed for entry-level positions to measure the competencies and experiences that underlie successful and safe performance in a team based work environment. the solution predicts the following types of behaviors and competencies foundational to safety across a wide range of jobs: wearing required protective equipment; working hard and responsibly; safely moving equipment, freight, or other materials; working and communicating effectively with others; taking action when unsafe situations occur; and following policies and procedures industries and environments with entry-level positions that use this solution are: warehouse, healthcare, delivery and logistics, food handling and preparation, assembly and installation, transportation, manufacturing and processing, construction, drivers, oil and gas, and mining.","['Entry-Level', ' General Population', ' Professional Individual Contributor', '']","['English International', ' Finnish', ' French', ' Dutch', ' Latin American Spanish', ' Swedish', ' Portuguese (Brazil)', ' Italian', ' German', ' French (Canada)', ' Danish', '']",20,"['Behavioral', 'Cognitive', 'Personality']",TRUE,https://www.shl.com/products/product-catalog/view/workplace-safety-team-7-1-solution/,FALSE
Entry Level Customer Service 7.1 (South Africa),"the entry level customer service solution (retail and contact center) 7.1 is for entry-level positions in which employees interact with customers by providing information or carrying out customer requests related to an organizations products or services. sample tasks for these jobs include but are not limited to interacting with customers on the phone or in person; taking orders; solving product or service issues; and responding positively to difficult or irate customers. important! please note that you will need to select the correct package depending on which norm you intend to use. the package available for this product is international, south africa and americas.","['Entry-Level', '']","['English International', '']",19,"['Cognitive', 'Personality']",TRUE,https://www.shl.com/products/product-catalog/view/entry-level-customer-service-7-1-%28south-africa%29/,FALSE
Contact Centre Agent Solution - UK,"this solution is used for job candidates applying to entry-level positions in a contact centre environment where the main focus of the job is customer service. the candidate answers multiple choice questions as well as questions in a customer call simulation environment. the solution measures: working with information, customer focus, contact centre retention, navigation, service orientation, and tactful problem solving. in addition, the solution measures data entry speed and accuracy, multi-tasking preferences, achievement orientation and conscientiousness.","['Entry-Level', '']","['English International', '']",39,"['Ability', 'Behavioral', 'Personality', 'Skills']",TRUE,https://www.shl.com/products/product-catalog/view/contact-centre-agent-solution-uk/,FALSE
Entry Level Sales Sift Out 7.1,"the entry level sales sift out 7.1 solution is for entry-level positions in which employees proactively sell products or services to customers and have their compensation and/or performance based on sales revenue. sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and completing a transaction with a customer","['Entry-Level', '']","['Swedish', ' Chinese Simplified', ' Finnish', ' English (USA)', ' Portuguese (Brazil)', ' French', ' Danish', ' Italian', ' Arabic', ' Dutch', ' French (Canada)', ' Latin American Spanish', ' English International', ' Norwegian', ' German', '']",20,"['Cognitive', 'Personality', 'Behavioral']",TRUE,https://www.shl.com/products/product-catalog/view/entry-level-sales-sift-out-7-1/,FALSE
Sales Representative Solution,"the sales representative solution is for entry-level sales positions in which employees proactively sell products to customers and have their pay and/or performance based on sales revenue. sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and completing a transaction with a customer. potential job titles that use this solution are: sales representative, sales associate, and sales clerk. multiple configurations of this solution are available.","['Entry-Level', '']","['English (USA)', '']",29,"['Ability', 'Behavioral', 'Personality']",TRUE,https://www.shl.com/products/product-catalog/view/sales-representative-solution/,TRUE
Customer Service with Sales - Short Form,"the customer service with sales solution is for entry-level positions that involve both providing service and support to customers and selling goods and services. sample tasks for this job include, but are not limited to: taking orders; solving product or service issues; selling products and services; responding positively to difficult customers; adding new goods and services to existing accounts; providing information on products and/or services. potential job titles that use this solution are: account service representative, account representative, customer service representative, and sales representative.","['Entry-Level', '']","['English (USA)', '']",44,"['Ability', 'Behavioral', 'Personality']",TRUE,https://www.shl.com/products/product-catalog/view/customer-service-with-sales-short-form/,TRUE
Sales Professional 7.1 (Americas),"our sales professional 7.1 solution is designed for entry to mid-level sales positions in which employees proactively sell products to customers, develop relationships with repeat customers, and have their pay and/or performance heavily based on sales revenue. sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and building ongoing customer relationships.","['Professional Individual Contributor', ' Mid-Professional', '']","['English (USA)', ' Portuguese (Brazil)', ' Latin American Spanish', ' French (Canada)', '']",21,"['Behavioral', 'Cognitive']",TRUE,https://www.shl.com/products/product-catalog/view/sales-professional-7-1-%28americas%29/,FALSE
Store Manager Solution,"the store manager solution is an assessment used for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees skills ; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others. potential job titles that use this solution are: store manager, first line supervisor, retail manager, restaurant manager, and customer service supervisor. multiple configuration options of this solution are available.","['Manager', ' Supervisor', '']","['English (USA)', '']",49,"['Ability', 'Behavioral', 'Personality']",TRUE,https://www.shl.com/products/product-catalog/view/store-manager-solution/,TRUE
Stock Clerk Solution,"the stock clerk solution is for entry-level retail positions in which employees work primarily in the stockroom handling incoming and outgoing shipment and keeping the sales floor fully stocked. sample tasks for these jobs include, but are not limited to: unload product shipment, maintain stockroom organization, replenish supplies and products on the sales floor, and process outgoing shipments. potential job titles that use this solution are: stock clerk, inventory associate, and warehouse associate. multiple configurations of this solution are available.","['Entry-Level', '']","['English (USA)', '']",25,"['Ability', 'Behavioral', 'Personality']",TRUE,https://www.shl.com/products/product-catalog/view/stock-clerk-solution/,FALSE
Hospitality Manager Solution,"the hospitality manager solution is designed for management level positions in the hospitality industry. sample tasks include overall property management, managing staff and managing the guest experience. the solution is focused on managing business operations, managing staff, solving problems, making good decisions and maintaining focus on the customer. potential job titles that use this solution are: property manager, property director, hotel manager and hospitality manager. multiple configurations of this solution are available.","['Front Line Manager', ' Manager', ' Supervisor', '']","['English (USA)', '']",57,"['Ability', 'Behavioral', 'K', 'Personality']",TRUE,https://www.shl.com/products/product-catalog/view/hospitality-manager-solution/,TRUE
Manager + 7.1 (International),"our manager 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees, and includes shls new innovative mobile-first ability assessment, verify interactive deductive reasoning. sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees and customers problems. report language availability: english (usa), canadian french, brazilian portuguese, danish, dutch, finnish, italian, norwegian, swedish. important! please note that you will need to select the correct package depending on which norm you intend to use. the package available for this product is americas and international.","['Director', ' Executive', ' Front Line Manager', ' Manager', '']","['French (Canada)', ' Dutch', ' Finnish', ' Norwegian', ' Swedish', ' Portuguese (Brazil)', ' Danish', ' English (USA)', ' Italian', '']",63,"['Behavioral', 'Cognitive', 'Personality']",TRUE,https://www.shl.com/products/product-catalog/view/manager-7-1-%28international%29/,TRUE
Customer Service - Short Form,"the customer service representative solution is for entry-level positions that involve a high degree of interaction with customers in person or on the phone. sample tasks for this job include, but are not limited to: taking orders; solving product or service issues; responding positively to difficult customers; referring unresolved issues to the appropriate individuals; providing information on products and/or services. potential job titles that use this solution are: account service representative, account representative, customer service representative, and customer service agent.","['Entry-Level', '']","['English (USA)', ' English International', '']",42,"['Ability', 'Behavioral', 'Personality']",TRUE,https://www.shl.com/products/product-catalog/view/customer-service-short-form/,TRUE
Nurse Solution,"the nurse solution is for professional-level healthcare nursing positions that require licensing or registration. sample tasks for these jobs include, but are not limited to: assessing the health conditions of patients, documenting patients medical information, creating a nursing care plan, and educating patients about healthcare issues. potential job titles that use this solution are: registered nurse, charge nurse, licensed practical nurse, and clinic nurse. multiple configurations of this solution are available.","['Professional Individual Contributor', '']","['English (USA)', '']",66,"['Personality', 'Ability', 'Behavioral']",TRUE,https://www.shl.com/products/product-catalog/view/nurse-solution/,TRUE
Branch Manager - Short Form,"this solution is for mid to upper-level financial institution managerial positions. candidates answer a series of multiple choice questions to measure management potential, management judgment, leadership potential, team management, branch manager problem solving, business leadership, leadership motivation, interpersonal leadership, self leadership, and branch manager judgment. there are multiple configurations and versions of this solution available.","['Front Line Manager', ' Manager', ' Supervisor', '']","['English (USA)', '']",50,"['Ability', 'Behavioral', 'Personality']",TRUE,https://www.shl.com/products/product-catalog/view/branch-manager-short-form/,FALSE
Insurance Sales Manager Solution,"the sales manager solution is for entry- to mid-level management positions that involve supervising employees working in an insurance organization and have a substantial portion of their job performance based on sales. sample tasks for this job include, but are not limited to: planning and preparing work schedules; promoting products to customers; training subordinates; analyzing sales statistics gathered by staff to determine sales potential and monitor preferences of customers; building ongoing customer relationships; and making day-to-day decisions with minimal guidance from others. potential job titles that use this solution are: insurance sales manager, sales manager, assistant sales manager, and sales supervisor. multiple configurations of this solution are available.","['Front Line Manager', ' Manager', ' Supervisor', '']","['English (USA)', '']",51,"['Ability', 'Behavioral', 'Personality', 'Skills']",TRUE,https://www.shl.com/products/product-catalog/view/insurance-sales-manager-solution/,TRUE
Retail Manager w/ Sales Solution,"the retail manager with sales solution is an assessment used for job candidates applying to entry-level leadership positions who tend to supervise hourly employees but also have a significant portion of their job performance based on sales and customer service. sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; promoting products to customers; training subordinates; building ongoing customer relationships; and making day-to-day decisions with minimal guidance from others. potential job titles that use this solution are: assistant manager, sales supervisor, retail manager, and floor leader. there are multiple configurations and versions of this solution available.","['Front Line Manager', ' Manager', ' Supervisor', '']","['English (USA)', '']",43,"['Ability', 'Behavioral', 'Personality']",TRUE,https://www.shl.com/products/product-catalog/view/retail-manager-w-sales-solution/,TRUE
Manager 8.0+ JFA,"the manager 8.0 job-focused assessment is designed for candidates applying to their first leadership positions and includes shls new innovative mobile-first ability assessment, verify interactive inductive reasoning. it measures behaviors that underlie successful performance in first-line manager roles across a wide range of industries. it is most relevant to positions that supervise salaried employees. this jfa includes the reskilling potential scale and the management potential scale. the reskilling potential scale measures tendency to learn from experiences in a way that supports professional success. the management potential scale measures the potential for managerial success across industry type and functional area.","['Manager', '']","['English (USA)', ' English International', '']",44,"['Behavioral', 'K', 'Personality']",TRUE,https://www.shl.com/products/product-catalog/view/manager-8-0-jfa-4310/,FALSE
Workplace Safety - Team 7.0 Solution,"the workplace safety team 7.0 solution is designed for entry-level positions to measure the competencies and experiences that underlie successful and safe performance in a team based work environment. the solution predicts the following types of behaviors and competencies foundational to safety across a wide range of jobs: wearing required protective equipment; working hard and responsibly; safely moving equipment, freight, or other materials; working and communicating effectively with others; taking action when unsafe situations occur; and following policies and procedures industries and environments with entry-level positions that use this solution are: warehouse, healthcare, delivery and logistics, food handling and preparation, assembly and installation, transportation, manufacturing and processing, construction, drivers, oil and gas, and mining. report language availability: english (usa), latin american spanish.","['Director', '']","['English International', ' English (USA)', ' French (Canada)', ' Latin American Spanish', '']",20,['Behavioral'],TRUE,https://www.shl.com/products/product-catalog/view/workplace-safety-team-7-0-solution/,FALSE
Financial Professional - Short Form,"this solution is for mid-level financial institution positions that require series 6/7 certification. candidates answer multiple choice questions to measure financial professional aptitude, learning potential, achievement orientation, conscientiousness, persistence and planfulness, self leadership, interpersonal leadership, sales focus and customer focus.","['Mid-Professional', ' Professional Individual Contributor', '']","['English (USA)', '']",35,"['Ability', 'Behavioral', 'Personality']",TRUE,https://www.shl.com/products/product-catalog/view/financial-professional-short-form/,FALSE
Graduate 8.0 Job Focused Assessment,"the graduate 8.0 job focused assessment is a short, targeted, globally applicable assessment to help you identify graduates with the highest potential to contribute and succeed. it also provides actionable feedback to help you onboard new hires. it is designed for professional level positions appropriate for recent college graduates and is available as part of shls graduate solution.","['Graduate', '']","['English (USA)', ' English International', ' Italian', ' French', ' German', ' Dutch', ' Chinese Simplified', ' Swedish', ' Finnish', ' Norwegian', ' Danish', ' Chinese Traditional', ' Turkish', ' Romanian', ' Japanese', ' Latin American Spanish', ' Indonesian', ' Portuguese (Brazil)', ' Arabic', ' Polish', '']",20,"['Personality', 'Behavioral']",TRUE,https://www.shl.com/products/product-catalog/view/graduate-8-0-job-focused-assessment-4228/,FALSE
Technical Sales Associate Solution,"the technical sales associate solution is for entry-level retail positions in which employees proactively sell a specific line of products that requires substantial knowledge about the products and have their pay and/or performance based on sales revenue. sample tasks for these jobs include, but are not limited to: obtaining detailed product information, promoting products to customers, persuading customers to buy products, and completing a transaction with a customer. potential job titles that use this solution are: sales representative, retail sales associate, and sales clerk. multiple configurations of this solution are available.","['Entry-Level', '']","['English (USA)', '']",41,"['Ability', 'Behavioral', 'Personality']",TRUE,https://www.shl.com/products/product-catalog/view/technical-sales-associate-solution/,FALSE
Entry level Sales 7.1 (International),"the entry level sales 7.1 solution is for entry-level positions in which employees proactively sell products or services to customers and have their compensation and/or performance based on sales revenue. sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and completing a transaction with a customer. report language availability: english (usa), english international, portuguese, french canadian, german, french, chinese simplified, spanish, north american spanish.","['Entry-Level', '']","['English (USA)', ' Spanish', ' Latin American Spanish', ' French', ' German', ' French (Canada)', ' English International', ' Chinese Simplified', ' Portuguese', '']",20,"['Personality', 'Behavioral', 'Cognitive']",TRUE,https://www.shl.com/products/product-catalog/view/entry-level-sales-7-1/,FALSE
Manager - Short Form,"the manager solution is an assessment used for job candidates applying to entry-level leadership positions who tend to supervise salaried employees. sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees and customers problems. potential job titles that use this solution are: manager, store manager, and branch manager.","['Front Line Manager', ' Manager', ' Supervisor', '']","['English (USA)', '']",57,"['Ability', 'Behavioral', 'K', 'Personality', 'Skills']",TRUE,https://www.shl.com/products/product-catalog/view/manager-short-form/,TRUE
Transcriptionist Solution,"the transcriptionist solution is for entry-level clerical roles in a healthcare environment that require employees to translate medical information. sample tasks for these jobs include, but are not limited to: transcribing dictated reports, deciphering medical jargon, and proofing medical reports. potential job titles that use this solution are: medical transcriptionist, medical transcriber, and documentation specialist. multiple configurations of this solution are available.","['Entry-Level', '']","['English (USA)', '']",33,"['Ability', 'Behavioral', 'K', 'Personality']",TRUE,https://www.shl.com/products/product-catalog/view/transcriptionist-solution/,TRUE
Insurance Agent Solution,"the insurance agent solution is for mid-level professional positions in the insurance industry that sell property, casualty, automotive, or other types of insurance. sample tasks for this position include, but are not limited to: calling on policyholders to deliver and explain policies or suggest additions or changes; calculating premiums; customizing insurance programs to suit individual customers; ensuring policy requirements are fulfilled; and conferring with clients to obtain and provide information when claims are made on a policy. potential job titles that use this solution are: insurance sales professional; insurance sales agent; producer; insurance agent. multiple configurations of this solution are available.","['Mid-Professional', '']","['English (USA)', '']",46,"['Ability', 'Behavioral', 'Personality']",TRUE,https://www.shl.com/products/product-catalog/view/insurance-agent-solution/,TRUE
Senior Sales Professional Solution,"the senior sales professional solution is for high-level sales positions in which employees proactively sell products to customers, develop relationships with new or existing customers, and have their pay and/or performance heavily based on sales revenue. sample tasks for these jobs include, but are not limited to: promoting products to customers, consulting with and persuading customers to buy products, and building ongoing customer relationships. potential job titles that use this solution are: senior sales representative, business development manager, and senior sales consultant. multiple configurations of this solution are available.","['Professional Individual Contributor', '']","['English (USA)', '']",42,"['Ability', 'Behavioral', 'Personality']",TRUE,https://www.shl.com/products/product-catalog/view/senior-sales-professional-solution/,TRUE
"Bookkeeping, Accounting, Auditing Clerk Short Form","the bookkeeping, accounting, and auditing clerk solution is for entry-level positions that involve entering numerical data into computer systems and maintaining financial records. sample tasks for this job include, but are not limited to: entering financial data into computers; checking financial records for accuracy; perform routine computations on financial data. potential job titles that use this solution are: accounting clerk, bookkeeper, accounting associate, auditing clerk and accounts receivable clerk.","['Entry-Level', '']","['English (USA)', '']",49,"['Personality', 'Skills', 'K', 'Behavioral', 'Ability']",TRUE,https://www.shl.com/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,TRUE
Restaurant Manager Solution,"the restaurant manager solution is designed for management level positions in the hospitality industry. sample tasks include purchasing food and supplies, accounting, setting policies and procedures, and managing staff. the solution is focused on managing staff, solving problems, making good decisions and maintaining focus on the customer. potential job titles that use this solution are: restaurant manager and general manager. multiple configurations of this solution are available.","['Front Line Manager', ' Manager', ' Supervisor', '']","['English (USA)', '']",48,"['Ability', 'Behavioral', 'Personality', 'Skills']",TRUE,https://www.shl.com/products/product-catalog/view/restaurant-manager-solution/,TRUE
Sales Supervisor Solution,"the sales supervisor solution is an assessment used for job candidates applying to entry-level sales leadership positions that generally supervise employees and have a significant portion of their job performance based on sales. sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, promoting products to customers; training subordinates; building ongoing customer relationships; and making day-to-day decisions with minimal guidance from others. potential job titles that use this solution are: assistant sales manager and sales supervisor. multiple configurations of this solution are available.","['Front Line Manager', ' Manager', ' Supervisor', '']","['English (USA)', '']",38,"['Ability', 'Behavioral', 'Personality']",TRUE,https://www.shl.com/products/product-catalog/view/sales-supervisor-solution/,TRUE
Healthcare Support Specialist Solution,"the healthcare support specialist solution is for entry-level positions in a healthcare environment that do not require the employee to interact with patients. sample tasks for this job include, but are not limited to: preparing food for patients, washing hospital linens, and cleaning the healthcare facility. potential job titles that use this solution are: janitors, food preparation workers, and laundry associates. multiple configurations of this solution are available.","['Entry-Level', '']","['English (USA)', '']",30,"['Ability', 'Behavioral', 'Personality']",TRUE,https://www.shl.com/products/product-catalog/view/healthcare-support-specialist-solution/,TRUE
Supervisor - Short Form,"the supervisor solution is an assessment used for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees skills ; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others. potential job titles that use this solution are: team leader, first line supervisor, call center supervisor, and customer service supervisor.","['Front Line Manager', ' Manager', ' Supervisor', '']","['English (USA)', '']",57,['Skills'],TRUE,https://www.shl.com/products/product-catalog/view/supervisor-short-form/,TRUE
Store Manager 7.0 Solution,"our store manager 7.0 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees in a retail or restaurant setting. sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees skills; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others. report language availability: english (usa), latin american spanish.","['Front Line Manager', ' Manager', '']","['English (USA)', ' English International', ' French (Canada)', ' Latin American Spanish', '']",34,"['Behavioral', 'Cognitive']",TRUE,https://www.shl.com/products/product-catalog/view/store-manager-7-0-solution/,FALSE
.NET MVVM (New),"multi-choice test that measures the knowledge of mvvm pattern, scenarios, data validation, viewmodel communication and quick-start.","['Mid-Professional', ' Professional Individual Contributor', '']","['English (USA)', '']",5,['K'],TRUE,https://www.shl.com/products/product-catalog/view/net-mvvm-new/,FALSE
Financial Services Representative Solution,"the financial services representative solution is for senior-level professional positions in the insurance industry that sell life insurance to businesses and individuals on behalf of insurance companies. sample tasks for this position include, but are not limited to: calling on policyholders to deliver and explain policies or suggest additions or changes; calculating premiums; customizing insurance programs to suite individual customers; seeking out new clients and developing clientele by networking; ensuring policy requirements are fulfilled; and conferring with clients to obtain and provide information when calims are made on a policy. potential job titles that use this solution are: life insurance sales professional, insurance sales agent. multiple configurations of this solution are available.","['Professional Individual Contributor', '']","['English (USA)', '']",44,"['Ability', 'Behavioral', 'Personality']",TRUE,https://www.shl.com/products/product-catalog/view/financial-services-representative-solution/,FALSE
Entry Level Customer Service 7.1 (International),"the entry level customer service solution (retail and contact center) 7.1 is for entry-level positions in which employees interact with customers by providing information or carrying out customer requests related to an organizations products or services. sample tasks for these jobs include, but are not limited to: interacting with customers on the phone or in person; taking orders; solving product or service issues; and responding positively to difficult or irate customers. important! please note that you will need to select the correct package depending on which norm you intend to use. the package available for this product is international, south africa and americas.","['Entry-Level', '']","['French', ' Dutch', ' English (USA)', ' English International', ' Italian', ' German', '']",19,"['Cognitive', 'Personality']",TRUE,https://www.shl.com/products/product-catalog/view/entry-level-customer-service-%28retail-and-cc%29-7-1/,FALSE
Industrial - Semi-skilled 7.1 (International),"our industrial semi-skilled 7.1 solution is designed for entry-level positions and measures the behaviors and experiences that underlie successful and safe performance for production workers. the solution assesses behaviors and competencies foundational to industrial roles including: following policies and procedures; applying relevant trade skills; wearing required protective equipment; working with or monitoring equipment; producing high quality work; effectively working with others; and maintaining an orderly work environment. potential job titles that use this solution include: production and assembly worker, construction worker, extraction technician. please note this package is in international norm.","['Entry-Level', '']","['French (Canada)', ' Finnish', ' English International', ' French', ' Danish', ' Norwegian', ' Swedish', '']",24,['Behavioral'],TRUE,https://www.shl.com/products/product-catalog/view/industrial-semi-skilled-7-1-%28international%29/,FALSE
Sales Professional 7.0 Solution,"our sales professional 7.0 solution is designed for entry to mid-level sales positions in which employees proactively sell products to customers, develop relationships with repeat customers, and have their pay and/or performance heavily based on sales revenue. sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and building ongoing customer relationships. report language availability: english (usa).","['Mid-Professional', ' Professional Individual Contributor', '']","['English International', ' English (USA)', ' French (Canada)', ' Latin American Spanish', '']",21,"['Cognitive', 'Behavioral']",TRUE,https://www.shl.com/products/product-catalog/view/sales-professional-7-0-solution/,FALSE
Workplace Safety - Team 7.1 (Americas),"the workplace safety team 7.1 solution is designed for entry-level positions to measure the competencies and experiences that underlie successful and safe performance in a team based work environment. the solution predicts the following types of behaviors and competencies foundational to safety across a wide range of jobs: wearing required protective equipment; working hard and responsibly; safely moving equipment, freight, or other materials; working and communicating effectively with others; taking action when unsafe situations occur; and following policies and procedures industries and environments with entry-level positions that use this solution are: warehouse, healthcare, delivery and logistics, food handling and preparation, assembly and installation, transportation, manufacturing and processing, construction, drivers, oil and gas, and mining.","['Entry-Level', ' General Population', ' Professional Individual Contributor', '']","['English (USA)', ' Latin American Spanish', ' French (Canada)', '']",20,"['Behavioral', 'Cognitive', 'Personality']",TRUE,https://www.shl.com/products/product-catalog/view/workplace-safety-team-7-1-%28americas%29/,FALSE
Entry level Sales 7.1 (Americas),"the entry level sales 7.1 solution is for entry-level positions in which employees proactively sell products or services to customers and have their compensation and/or performance based on sales revenue. sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and completing a transaction with a customer.","['Entry-Level', '']","['Portuguese (Brazil)', '']",20,"['Behavioral', 'Cognitive', 'Personality']",TRUE,https://www.shl.com/products/product-catalog/view/entry-level-sales-7-1-%28americas%29/,FALSE
Manager 7.1 (Americas),"our manager 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees. sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees and customers problems. report language availability: english (usa), danish, finnish, canadian french, italian, norwegian, french, german, english international,. important! please note that you will need to select the correct package depending on which norm you intend to use. the package available for this product is international.","['Executive', ' Director', ' Front Line Manager', ' Manager', '']","['Portuguese (Brazil)', ' French (Canada)', '']",40,"['Behavioral', 'Cognitive', 'Personality']",TRUE,https://www.shl.com/products/product-catalog/view/manager-7-1-%28americas%29/,FALSE
Industrial - Professional and Skilled 7.0 Solution,"our industrial professional and skilled 7.0 solution is designed to measure the behaviors and experiences that underlie successful and safe performance in the workplace for specialized technical or professional industrial roles. this solution assesses mechanical comprehension and other foundational behaviors including: behaving safely and efficiently in the workplace; installing, repairing, and/or maintaining equipment and machinery; making sound mechanical decisions; maintaining an orderly work environment; and producing high quality and reliable work. report language availability: english (usa), latin american spanish.","['Entry-Level', '']","['Latin American Spanish', ' English (USA)', ' English International', ' French (Canada)', '']",49,"['Ability', 'Behavioral']",TRUE,https://www.shl.com/products/product-catalog/view/industrial-professional-and-skilled-7-0-solution/,TRUE
Contact Center Team Lead/Coach - Short Form,"the contact center - team lead/coach solution is for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. sample tasks for these jobs include, but are not limited to: planning and preparing work schedules; assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks; developing employees skills; training subordinates or less tenured peers; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others. potential job titles that use this solution are: team leader, coach, first line supervisor, processing supervisor, call center supervisor, and customer service supervisor.","['Front Line Manager', ' Professional Individual Contributor', ' Supervisor', '']","['English (USA)', '']",45,"['Ability', 'Behavioral', 'Personality', 'Skills']",TRUE,https://www.shl.com/products/product-catalog/view/contact-center-team-leadcoach-short-form/,TRUE
Host Solution,"the host solution is designed for entry level positions in the hospitality industry. sample tasks include greeting guests, managing wait lists and showing guests to their tables. the solution is focused on work ethic and customer focus. potential job titles that use this solution are: host, hostess and greeter. there are multiple configurations and versions of this solution available.","['Entry-Level', '']","['English (USA)', '']",30,"['Behavioral', 'Personality']",TRUE,https://www.shl.com/products/product-catalog/view/host-solution/,TRUE
Professional + 7.1 (International),"our professional 7.1 solution is designed for all non-managerial professional individual contributor positions, and includes shls new innovative mobile-first ability assessment, verify interactive deductive reasoning. sample tasks for these jobs include, but are not limited to: gathering requirements, analyzing data, managing projects, producing products or services.","['General Population', ' Mid-Professional', ' Professional Individual Contributor', '']","['Chinese Traditional', ' Dutch', ' Chinese Simplified', ' French', ' English International', ' Swedish', ' Italian', ' Norwegian', ' Danish', ' English (USA)', ' French (Canada)', ' Portuguese (Brazil)', ' Spanish', ' German', ' Portuguese', ' Finnish', '']",56,"['Behavioral', 'Cognitive', 'Personality']",TRUE,https://www.shl.com/products/product-catalog/view/professional-7-1-solution/,TRUE
Prep/Line Cook Solution,"the prep/line cook solution is for entry-level food preparation positions in the hospitality industry. sample tasks include preparing ingredients and final food items for consumption. the solution is focused on work ethic and performing quality work with no direct customer contact or sales requirements. potential job titles that use this solution are: cook, line cook, food preparer, prep cook and chef. multiple configurations of this solution are available.","['Entry-Level', '']","['English (USA)', '']",24,"['Ability', 'Behavioral', 'Personality']",TRUE,https://www.shl.com/products/product-catalog/view/prepline-cook-solution/,TRUE
