Title,Description,Job Levels,Languages,Assessment Length,Test Type,Remote Testing,URL
Supervisor 7.0 Solution,"Our Supervisor 7.0 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others.
Report Language Availability: English (USA), Latin American Spanish.","Supervisor,","English International, English (USA), French (Canada), Latin American Spanish,",32,"B, C",True,https://www.shl.com/products/product-catalog/view/supervisor-7-0-solution/
Bank Collections Agent - Short Form,"This solution is for entry-level collections positions in an inbound or outbound call center environment in a financial setting. Candidates answer multiple choice questions to measure achievement orientation, dependability, collector numerical skills, revenue recovery, customer focus, and persistence and planfulness. There are multiple configurations and versions of this solution available.","Entry-Level,","English (USA),",45,"A, B, P",True,https://www.shl.com/products/product-catalog/view/bank-collections-agent-short-form/
Professional 7.1 (International),"Our Professional 7.1 solution is designed for all non-managerial professional individual contributor positions. Sample tasks for these jobs include, but are not limited to: gathering requirements, analyzing data, managing projects, producing products or services.","Professional Individual Contributor, Mid-Professional,","English International, Swedish, Italian, Finnish, Dutch, French, English (USA), German, Portuguese (Brazil), Latin American Spanish, French (Canada), Danish, Norwegian,",33,"C, B",True,https://www.shl.com/products/product-catalog/view/professional-7-1-solution-4247/
.NET WCF (New),"Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF.","Mid-Professional, Professional Individual Contributor,","English (USA),",11,K,True,https://www.shl.com/products/product-catalog/view/net-wcf-new/
Gaming Associate Solution,"The Gaming Associate solution is designed for entry to mid-level positions operating gaming tables. The solution is for highly customer service focused positions that may potentially deal with large sums of money. Sample tasks may include: dealing playing cards, counting and confirming patron bets, collecting patron losses and distributing patron winnings, and exchange currency for playing chips. Potential job titles that use this solution are: Table Games Dealer, Black Jack Dealer, Dealer, Casino Dealer, Dual Rate Dealer, Card Dealer and Gaming Dealer. Multiple configurations of this solution are available.","Entry-Level,","English (USA),",50,"A, B, P, S",True,https://www.shl.com/products/product-catalog/view/gaming-associate-solution/
Manager + 7.1 (Americas),"Our Manager + 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise salaried employees, and includes SHL’s new innovative mobile-first ability assessment, Verify Interactive – Deductive Reasoning. Sample tasks for these jobs include, but are not limited to: planning projects with subordinates; collaborating with senior managers on developing new methods and procedures; coaching employees on performance-related issues; developing employees ' skills; coordinating activities with other managers to accomplish organizational goals; setting and meeting department goals; prioritizing multiple tasks and priorities; making selected strategic and day-to-day decisions; and solving employees' and customers' problems.
Report Language Availability: English (USA), Canadian French.
“IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is Americas and International"".","Director, Executive, Front Line Manager, Manager,","English (USA), Portuguese (Brazil), Latin American Spanish, French (Canada),",63,"B, C, P",True,https://www.shl.com/products/product-catalog/view/manager-7-1-solution-4242/
District/Regional Manager Solution,"The District/Regional Manager solution is for mid- to senior-level managerial positions that oversee multiple stores within a defined area. Sample tasks for these jobs include, but are not limited to: directing a group of supervisors or managers, having profit and loss responsibility for a district or region, and aligning work with overall company goals. Potential job titles that use this solution are: Regional Director, District Manager, General Manager, Regional Manager, Store Manager, and Area Manager. There are multiple configurations and versions of this solution available.","Manager,","English (USA),",65,"A, B, P",True,https://www.shl.com/products/product-catalog/view/districtregional-manager-solution/
Account Manager Solution,"The Account Manager solution is an assessment used for job candidates applying to mid-level leadership positions that tend to manage the day-to-day operations and activities of client accounts. Sample tasks for these jobs include, but are not limited to: communicating with clients about project status, developing and maintaining project plans, coordinating internally with appropriate project personnel, and ensuring client expectations are being met. Potential job titles that use this solution are: Account Executive, Account Manager, and Senior Account Manager. There are multiple configurations of this solution available.","Mid-Professional,","English (USA),",49,"C, P, A, B",True,https://www.shl.com/products/product-catalog/view/account-manager-solution/
Teller with Sales - Short Form,"The Teller solution with Sales is for entry-level financial institution teller positions. Sample tasks for this job would include, but are not limited to: balancing currency, coin and checks, cashing checks and paying out money, entering customer transactions into computers, and suggestive selling after a customer service interaction.","Entry-Level,","English (USA),",35,"A, B, K, P, S",True,https://www.shl.com/products/product-catalog/view/teller-with-sales-short-form/
Bank Administrative Assistant - Short Form,"The Administrative Assistant solution is for entry-level clerical positions that interact with external or internal customers. Sample tasks for these jobs include, but are not limited to: answering telephones, managing files and records, sorting mail, greeting customers, and collaborating with co-workers on projects. Potential job titles that use this solution are: Receptionist and Administrative Assistant. There are multiple configurations of this solution available.","Entry-Level,","English (USA),",35,"A, B, K, P",True,https://www.shl.com/products/product-catalog/view/bank-administrative-assistant-short-form/
.NET WPF (New),"Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF applications.","Mid-Professional, Professional Individual Contributor,","English (USA),",9,K,True,https://www.shl.com/products/product-catalog/view/net-wpf-new/
Manufacturing Production Team Member,"The Manufacturing Production Team Member solution is designed for entry-level positions to measure the behaviors and experiences that underlie successful and safe performance in the workplace for production workers. This solution measures a candidate’s error checking abilities and general tendency to behave safely and efficiently in the workplace. The solution uses a variety of assessment types including measures of personality traits, safety-related situational judgment, and error checking. The Manufacturing Production Team Member solution is designed for selection to job titles, such as: Production Worker, Material Handler, Driver, Forklift Operator, Crewman, Mechanic, and Receiver.","Entry-Level,","English (USA),",35,"A, B",True,https://www.shl.com/products/product-catalog/view/manufacturing-production-team-member/
Director - Short Form,"The Director solution is intended for use with senior level positions responsible for the planning, directing, or coordinating key business activities and operations of companies. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources. Potential job titles that use this solution are: Director, Regional Director, and Director of Operations.","Director,","English (USA),",69,"A, B, P",True,https://www.shl.com/products/product-catalog/view/director-short-form/
Personal Banker - Short Form,"The Personal Banker – Loan Officer solution is for entry to mid-level financial institution positions. Sample tasks for this job would include, but are not limited to: acquiring, retaining and expanding new and existing customer relationships, discovering customer needs, making the best recommendation, completing sales, proactively contacting & meeting customers, and asking for referrals.","Entry-Level, Mid-Professional,","English (USA),",30,"A, B, K, P, S",True,https://www.shl.com/products/product-catalog/view/personal-banker-short-form/
Graduate + 8.0 Job Focused Assessment,"The Graduate + 8.0 Job Focused Assessment is a short, targeted, globally applicable assessment which includes a short cognitive ability measure. It helps you identify graduates with the highest potential to contribute and succeed, as well as providing actionable feedback to help you onboard new hires.
It is designed for professional level positions appropriate for recent college graduates and is available as part of SHL’s Graduate Solution.","Graduate,","Arabic, Latin American Spanish, Portuguese, Polish, Portuguese (Brazil), Romanian, Turkish, English International, Italian, French, German, Dutch, Chinese Simplified, Swedish, Norwegian, Danish, Chinese Traditional, Spanish, Japanese,",30,"A, B, P",True,https://www.shl.com/products/product-catalog/view/graduate-8-0-job-focused-assessment/
General Entry Level – Data Entry 7.0 Solution,"Our General Entry Level – Data Entry 7.0 solution is designed for entry-level positions that include entering data into computers or data management systems. This solution measures speed and accuracy at typing text and numbers into forms and predicts the following types of behaviors foundational to all jobs: being on-time to work; following rules and policies; treating others respectfully; producing quality work; meeting goals; and approaching work in a thorough and precise manner. This solution can be used across all industries with entry-level positions. Example titles include, but are not limited to: Accounting Clerk, Accounts Receivable Clerk, Administrative Clerk, Clerical Aide, Clerical Assistant, Office Assistant, Office Services Specialist, Staff Assistant.
Report Language Availability: English (USA)","General Population, Entry-Level,","English (USA),",24,"B, K",True,https://www.shl.com/products/product-catalog/view/general-entry-level-data-entry-7-0-solution/
Agency Manager Solution,"The Agency Manager solution is for mid-level sales management positions that include front line management and sales responsibilities. Sample tasks for this job include, but are not limited to: directing and coordinating financial activities of workers in a branch, office, or department of an establishment, such as branch bank, brokerage firm, risk and insurance department, or credit department. Potential job titles that use this solution are: Agency Manager, Brokerage Manager. Multiple configurations of this solution are available.","Front Line Manager, Manager, Supervisor,","English (USA),",51,"A, B, P, S",True,https://www.shl.com/products/product-catalog/view/agency-manager-solution/
Manager 8.0 JFA,The Manager 8.0 Job-Focused Assessment is designed for candidates applying to their first leadership positions. It measures behaviors that underlie successful performance in first-line manager roles across a wide range of industries. It is most relevant to positions that supervise salaried employees. This JFA includes the Reskilling Potential Scale and the Management Potential Scale. •The Reskilling Potential scale measures tendency to learn from experiences in a way that supports professional success. •The Management Potential scale measures the potential for managerial success across industry type and functional area.,"Manager,","English (USA), English International,",26,"B, K, P",True,https://www.shl.com/products/product-catalog/view/manager-8-0-jfa/
Service Associate Solution,"The Service Associate is designed for entry-level positions that are primarily task focused but may include a customer service component. The solution covers a wide variety of support positions in the hospitality industry and sample tasks may include: cleaning hotel rooms, serving food at buffet lines, parking cars, and/or delivering food to hotel rooms. Potential job titles that use this solution are: Housekeeper, Buffet Server, Room Service Attendant, and Valet. Multiple configurations of this solution are available.","Entry-Level,","English (USA),",38,"A, B, P",True,https://www.shl.com/products/product-catalog/view/service-associate-solution/
Supervisor 7.1 (International),"Our Supervisor 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others.
Report Language Availability: English International, German, Portuguese, Spanish, Norwegian, Swedish, Dutch, French, English (USA)
“IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is International and Americas"".","Supervisor, Front Line Manager,","Italian, Norwegian, Spanish, English (USA), French, German, Dutch, Swedish, Portuguese, English International,",29,"P, C, B",True,https://www.shl.com/products/product-catalog/view/supervisor-7-1-%28international%29/
Accounts Receivable (New),Multiple-choice test that measures the knowledge of processing receivables and invoices.,"Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,","English (USA),",13,K,True,https://www.shl.com/products/product-catalog/view/accounts-receivable-new/
Contact Center Customer Service + 8.0,"The Contact Center + 8.0 - Customer Service Job Focused Assessment is designed to measure the skills, competencies, and behaviors needed for success in contact center roles where the main focus is customer service. This JFA includes a mobile-optimized contact center simulation, a behavioral assessment, and a cognitive test. Together, these assessments capture the ability to provide exceptional customer service in entry-level contact center roles.","Entry-Level,","English (USA), English International, French, German, Latin American Spanish, Chinese Simplified, Portuguese (Brazil), Japanese,",41,"A, B, C, P, S",True,https://www.shl.com/products/product-catalog/view/contact-center-customer-service-8-0/
Support Associate Solution,"The Support Associate solution is designed for entry-level positions that involve little to no interaction with customers. The solution covers a wide variety of support positions in the hospitality industry, and sample tasks may include: food preparation, dishwashing, and/or cleaning. Potential job titles that use this solutin are: Janitor, Food Prep, Laundry Associate and Dishwasher. Multiple configurations of this solution are available.","Entry-Level,","English (USA),",38,"A, B, P",True,https://www.shl.com/products/product-catalog/view/support-associate-solution/
Guest Service Team 7.0 Solution,"Our Guest Service Team 7.0 solution is designed for team-oriented entry-level positions that involve a high degree of interaction with customers. The solution covers a wide variety of positions, and assesses competencies critical to interacting with customers including: persisting to meet guest needs; behaving responsibly and appropriately; effectively working alongside others; preparing and/or delivering customer orders; following rules and policies; and communicating effectively. Potential job titles that use this solution include: Server, Hostess, Guest Services Team Member, Customer Service Champion.
Report Language Availability: English (USA), Latin American Spanish.","Entry-Level,","French (Canada), Latin American Spanish, English (USA), English International,",18,B,True,https://www.shl.com/products/product-catalog/view/guest-service-team-7-0-solution/
Teller 7.0,"Teller or cashier positions are integral to financial institutions as they conduct numerous banking transactions each day, as well as being the face of the bank to its customers. The Teller Solution contains scales that measure a person’s ability to handle money, prevent transactional errors, promote quality customer service, and generate sales or referrals appropriately.","Entry-Level,","English (USA),",35,"B, K, P, S",True,https://www.shl.com/products/product-catalog/view/teller-7-0/
Sales Manager Solution,"The Sales Manager solution is an assessment used for applying to entry to mid-level sales leadership positions that generally manage employees and have a significant portion of their job performance based on sales. Sample tasks for these jobs include, but are not limited to: planning and preparing sales plans, promoting products to customers, training subordinates, building ongoing customer relationships, and making day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Sales Manager and Manager of Direct Sales.","Front Line Manager, Manager,","English (USA),",63,"A, B, P",True,https://www.shl.com/products/product-catalog/view/sales-manager-solution/
Industrial - Entry Level 7.1 (International),"Our Industrial – Entry Level 7.1 solution is designed for entry-level positions, and measures the behaviors and experiences that underlie successful and safe performance in general or light industrial roles. The solution covers a wide variety of entry-level positions, and assesses behaviors including: following policies and procedures; general facility upkeep; producing high quality work; maintaining an orderly work environment; wearing required protective equipment; and being thorough. Potential job titles that use this solution include: Laborer, Custodians, Building and Grounds Maintenance Workers, Handyman.
“IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is International and Americas"".","Entry-Level,","Dutch, Norwegian, German, English International, Portuguese (Brazil), English (USA), French (Canada),",20,B,True,https://www.shl.com/products/product-catalog/view/industrial-entry-level-7-1-%28international%29/
Technology Professional 8.0 Job Focused Assessment,"The Technology Job Focused Assessment assesses key behavioral attributes required for success in fast-paced, rapidly evolving technology environments , providing an indication of the candidate’s longer term potential.

It is available as part of SHL’s Technology Hiring Solution.","Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor,","German, Spanish, Latin American Spanish, French, Italian, Indonesian, Chinese Simplified, French (Canada), English International, English (USA),",16,"C, P",True,https://www.shl.com/products/product-catalog/view/technology-professional-8-0-job-focused-assessment/
Administrative Professional - Short Form,"The Administrative Professional solution is for entry to mid-level positions that involve routine clerical and administrative functions in addition to office management functions and customer service. Sample tasks for this job include, but are not limited to: arranging conference calls; drafting correspondence; scheduling meetings; greeting visitors; coordinating office activities. Potential job titles that use this solution are: Administrative Assistant, Secretary, Office Manager, Administrative Aide, and Administrative Associate.","Entry-Level,","English (USA),",36,"A, K, P",True,https://www.shl.com/products/product-catalog/view/administrative-professional-short-form/
.NET XAML (New),"Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts.","Mid-Professional, Professional Individual Contributor,","English (USA),",5,K,True,https://www.shl.com/products/product-catalog/view/net-xaml-new/
.NET Framework 4.5,"The.NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users, this test covers the following topics: Application Development, Application Foundation, Data Modeling, Deployment, Diagnostics, Performance, Portability, and Security.","Professional Individual Contributor, Mid-Professional,","English (USA),",30,K,True,https://www.shl.com/products/product-catalog/view/net-framework-4-5/
Project Manager - Short Form,"The Project Manager solution is designed for positions that lead medium to large scale projects with multiple team members involved. Sample tasks for this job include, but are not limited to: guiding, supervising, and influencing project team members, scoping project resource requirements, and managing project timelines, scope and budgets. Potential job titles that ues this solution are: Project Manager, Implementation Manager, Construction Project Manager and IT Project Manager.","Professional Individual Contributor,","English (USA),",49,"A, B, P, S",True,https://www.shl.com/products/product-catalog/view/project-manager-short-form/
Nurse Leader Solution,"The Nurse Leader solution is an assessment used for job candidates applying to entry-level nurse leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules; assigning nurses to specific duties; coaching nurses on attendance, conduct, schedule adherence, and work related tasks; developing nurses' skills; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others in a healthcare setting. Potential job titles that use this solution are: Nurse Leader or Nurse Manager. There are multiple configurations and versions of this solution available.","Front Line Manager, Manager, Supervisor,","English (USA),",59,"S, A, B, P",True,https://www.shl.com/products/product-catalog/view/nurse-leader-solution/
General Entry Level - All Industries 7.0 Solution,"Our General Entry Level – All Industries 7.0 solution is designed for entry-level positions across industries. This solution predicts the following types of behaviors foundational to all jobs: being on-time to work; following rules and policies; treating others respectfully; producing quality work; meeting goals; and effectively working alongside others. Solution can be used across all industries with entry-level positions. Example titles include, but are not limited to: Administrator, Clerk, Veterinary Assistant, Stocker, Dish Washer, Office Coordinator, Tour Guide, Cook, Assistant, Housekeeper, Waste Collector.","Entry-Level,","English (USA), English International, French (Canada), Latin American Spanish,",19,B,True,https://www.shl.com/products/product-catalog/view/general-entry-level-all-industries-7-0-solution/
Industrial - Entry Level 7.0 Solution,"Our Industrial – Entry Level 7.0 solution is designed for entry-level positions, and measures the behaviors and experiences that underlie successful and safe performance in general or light industrial roles. The solution covers a wide variety of entry-level positions, and assesses behaviors including: following policies and procedures; general facility upkeep; producing high quality work; maintaining an orderly work environment; wearing required protective equipment; and being thorough. Potential job titles that use this solution include: Laborer, Custodians, Building and Grounds Maintenance Workers, Handyman.
Report Language Availability: English (USA), Latin American Spanish.","Entry-Level,","French (Canada), English (USA), English International, Latin American Spanish,",20,B,True,https://www.shl.com/products/product-catalog/view/industrial-entry-level-7-0-solution/
Store Manager 7.1 (Americas),"Our Store Manager 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees in a retail or restaurant setting. Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others.","Front Line Manager, Manager,","English (USA), Latin American Spanish, Portuguese (Brazil), French (Canada),",34,"B, C",True,https://www.shl.com/products/product-catalog/view/store-manager-7-1-%28americas%29/
Customer Service - Short Form - UK,"The Customer Service Representative solution is for entry-level positions that involve a high degree of interaction with customers in person or on the phone. Sample tasks for this job include, but are not limited to: taking orders; solving product or service issues; responding positively to difficult customers; referring unresolved issues to the appropriate individuals; providing information on products and/or services. Potential job titles that use this solution are: Account Service Representative, Account Representative, Customer Service Representative, and Customer Service Agent.","Entry-Level,","English International,",42,"A, B, P",True,https://www.shl.com/products/product-catalog/view/customer-service-short-form-uk/
Network Engineer/Analyst Solution,"The Network Engineer/Analyst solution is designed for use with professional level telecommunications engineers and network analysts. The solution is focused on positions that involve the design and monitoring of complex telecommunications networks, and places an emphasis on reasoning ability, attention to detail, and multitasking. Sample tasks may include: designing networks or network elements, ensuring proper network operation and performance, and monitoring and troubleshooting electronic data and communication networks. Potential job titles that use this solution are: Network Engineer, Network Analyst, and Communications Engineer. There are multiple configurations of this solution available.","Professional Individual Contributor,","English (USA),",41,"P, S, K, B, A",True,https://www.shl.com/products/product-catalog/view/network-engineeranalyst-solution/
Nursing Assistant Solution,"The Nursing Assistant solution is for entry-level positions in a clinic or hospital environment. Sample tasks for this job include, but are not limited to: turning and re-positioning bedridden patients, feeding patients who cannot feed themselves, and observing patients' conditions, including measuring and recording food intake. Potential job titles that use this solution are: Certified Nursing Assistant, Nursing Aide, Patient Care Technician, and Hospital Attendant. Multiple configurations of this solution are available.","Entry-Level,","English (USA),",41,"A, B, P",True,https://www.shl.com/products/product-catalog/view/nursing-assistant-solution/
Executive - Short Form,"The Executive solution is intended for use with senior executive level positions responsible for planning, directing, or coordinating key business activities and operations at the highest level of an organization. Executives at this level often accomplish their work through subordinate executives and provide overall direction to their organization by determining and formulating policies within guidelines set up by a board of directors or similar governing body. Potential job titles that use this solution are: Executive Vice President, President, and Executive Director.","Executive,","English (USA),",74,"A, B, P",True,https://www.shl.com/products/product-catalog/view/executive-short-form/
Store Manager 7.1 (International),"Our Store Manager 7.1 solution is designed for candidates applying to entry-level leadership positions who tend to supervise hourly employees in a retail or restaurant setting. Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others.","Front Line Manager, Manager,","Latin American Spanish, English International,",34,"C, B",True,https://www.shl.com/products/product-catalog/view/store-manager-7-1-%28international%29/
Entry Level Customer Service 7.1 (Americas),"The Entry Level Customer Service Solution (Retail and Contact Center) 7.1 is for entry-level positions in which employees interact with customers by providing information or carrying out customer requests related to an organizations products or services. Sample tasks for these jobs include, but are not limited to: interacting with customers on the phone or in person; taking orders; solving product or service issues; and responding positively to difficult or irate customers.
“IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is International, South Africa and Americas"".","Entry-Level,","German, Finnish, Portuguese (Brazil), English (USA), Norwegian, Dutch, Arabic, Swedish, French (Canada), Italian, Danish, English International, Chinese Simplified, Latin American Spanish, French,",19,"C, P",True,https://www.shl.com/products/product-catalog/view/entry-level-customer-service-7-1-%28americas%29/
Workplace Safety Solution,"The Workplace Safety Solution is designed for entry-level positions to measure the competencies and experiences that underlie successful and safe performance in the workplace. This solution measures one’s general tendency to behave safely in the workplace using a variety of assessment types including personality traits, safety-related situational judgment, and biodata. Potential job titles that use this solution are: Material Handler, Shipping Operator, Driver, Forklift Operator, Crewman, Mechanic, and Receiver.","Entry-Level,","English (USA), English (Australia),",21,"B, P",True,https://www.shl.com/products/product-catalog/view/workplace-safety-solution/
Reservation Agent Solution,"The Reservation Agent solution is designed for entry-level positions within the hospitality industry. Sample tasks may indlude making, updating, or canceling reservations; looking up information and entering information into a computer; providing information on the hotel and the services offered. Potential titles that use this solution are: Reservation Agent, Customer Service Representative and Reservationist. Multiple configurations of this solution are available.","Entry-Level,","English (USA),",43,"A, P, S, B",True,https://www.shl.com/products/product-catalog/view/reservation-agent-solution/
Sales Professional Solution,"The Sales Professional solution is for entry to mid-level sales positions in which employees proactively sell products to customers, develop relationships with repeat customers, and have their pay and/or performance heavily based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and building ongoing customer relationships. Potential job titles that use this solution are: Sales Consultant, Sales Representative, and Account Representative. Multiple configurations of this solution are available.","Mid-Professional,","English (USA),",47,"A, B, P",True,https://www.shl.com/products/product-catalog/view/sales-professional-solution/
Technician/Technologist Solution,"The Technician/Technologist solution is for positions in a healthcare environment that perform medical tests to aide in the treatment of patients. Sample tasks for this job include, but are not limited to: collecting samples of bodily fluids, completing x-rays on patients, conducting analysis using medical machines, and entering results of medical tests into a computer. Potential job titles that use this solutionare: Radiologic Technician, Medical Technologist/Technician, and Laboratory Technologist. Multiple configurations of this solution are available.","Mid-Professional,","English (USA),",52,"A, B, P",True,https://www.shl.com/products/product-catalog/view/techniciantechnologist-solution/
Professional/Individual Contributor - Short Form,"The Professional/Individual Contributor solution is for mid to upper-level, non-managerial positions. Sample tasks for these jobs include, but are not limited to: meeting with clients to determine their needs, analyzing data sets, and working with co-workers to complete projects. Potential job titles that use this solution are: Engineer, Human Resource Consultant, and IT Analyst.","Mid-Professional, Professional Individual Contributor,","English (USA),",44,"A, B, P, S",True,https://www.shl.com/products/product-catalog/view/professionalindividual-contributor-short-form/
Insurance Administrative Assistant Solution,"The Administrative Assistant solution is for entry-level clerical positions that interact with external or internal customers. Sample tasks for this job include, but are not limited to: answering telephones; managing files and records; sorting mail; handling information requests; greeting customers; and collaborating with co-workers on projects. Potential job titles that use this solution are: Receptionist and Administrative Assistant. Multiple configurations of this solution are available.","Entry-Level,","English (USA),",24,"A, B, P, S",True,https://www.shl.com/products/product-catalog/view/insurance-administrative-assistant-solution/
Workplace Safety - Team 7.1 (International),"The Workplace Safety – Team 7.1 solution is designed for entry-level positions to measure the competencies and experiences that underlie successful and safe performance in a team based work environment. The solution predicts the following types of behaviors and competencies foundational to safety across a wide range of jobs: wearing required protective equipment; working hard and responsibly; safely moving equipment, freight, or other materials; working and communicating effectively with others; taking action when unsafe situations occur; and following policies and procedures Industries and environments with entry-level positions that use this solution are: Warehouse, Healthcare, Delivery and Logistics, Food Handling and Preparation, Assembly and Installation, Transportation, Manufacturing and Processing, Construction, Drivers, Oil and Gas, and Mining.","Entry-Level, General Population, Professional Individual Contributor,","English International, Finnish, French, Dutch, Latin American Spanish, Swedish, Portuguese (Brazil), Italian, German, French (Canada), Danish,",20,"B, C, P",True,https://www.shl.com/products/product-catalog/view/workplace-safety-team-7-1-solution/
Entry Level Customer Service 7.1 (South Africa),"The Entry Level Customer Service Solution (Retail and Contact Center) 7.1 is for entry-level positions in which employees interact with customers by providing information or carrying out customer requests related to an organization's products or services. Sample tasks for these jobs include but are not limited to interacting with customers on the phone or in person; taking orders; solving product or service issues; and responding positively to difficult or irate customers.
“IMPORTANT! Please note that you will need to select the correct package depending on which norm you intend to use. The package available for this product is International, South Africa and Americas"".","Entry-Level,","English International,",19,"C, P",True,https://www.shl.com/products/product-catalog/view/entry-level-customer-service-7-1-%28south-africa%29/
Contact Centre Agent Solution - UK,"This solution is used for job candidates applying to entry-level positions in a contact centre environment where the main focus of the job is customer service. The candidate answers multiple choice questions as well as questions in a customer call simulation environment. The solution measures: working with information, customer focus, contact centre retention, navigation, service orientation, and tactful problem solving. In addition, the solution measures data entry speed and accuracy, multi-tasking preferences, achievement orientation and conscientiousness.","Entry-Level,","English International,",39,"A, B, P, S",True,https://www.shl.com/products/product-catalog/view/contact-centre-agent-solution-uk/
Entry Level Sales Sift Out 7.1,"The Entry Level Sales Sift Out 7.1 Solution is for entry-level positions in which employees proactively sell products or services to customers and have their compensation and/or performance based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and completing a transaction with a customer","Entry-Level,","Swedish, Chinese Simplified, Finnish, English (USA), Portuguese (Brazil), French, Danish, Italian, Arabic, Dutch, French (Canada), Latin American Spanish, English International, Norwegian, German,",20,"C, P, B",True,https://www.shl.com/products/product-catalog/view/entry-level-sales-sift-out-7-1/
Sales Representative Solution,"The Sales Representative solution is for entry-level sales positions in which employees proactively sell products to customers and have their pay and/or performance based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and completing a transaction with a customer. Potential job titles that use this solution are: Sales Representative, Sales Associate, and Sales Clerk. Multiple configurations of this solution are available.","Entry-Level,","English (USA),",29,"A, B, P",True,https://www.shl.com/products/product-catalog/view/sales-representative-solution/
Customer Service with Sales - Short Form,"The Customer Service with Sales solution is for entry-level positions that involve both providing service and support to customers and selling goods and services. Sample tasks for this job include, but are not limited to: taking orders; solving product or service issues; selling products and services; responding positively to difficult customers; adding new goods and services to existing accounts; providing information on products and/or services. Potential job titles that use this solution are: Account Service Representative, Account Representative, Customer Service Representative, and Sales Representative.","Entry-Level,","English (USA),",44,"A, B, P",True,https://www.shl.com/products/product-catalog/view/customer-service-with-sales-short-form/
Sales Professional 7.1 (Americas),"Our Sales Professional 7.1 solution is designed for entry to mid-level sales positions in which employees proactively sell products to customers, develop relationships with repeat customers, and have their pay and/or performance heavily based on sales revenue. Sample tasks for these jobs include, but are not limited to: promoting products to customers, persuading customers to buy products, and building ongoing customer relationships.","Professional Individual Contributor, Mid-Professional,","English (USA), Portuguese (Brazil), Latin American Spanish, French (Canada),",21,"B, C",True,https://www.shl.com/products/product-catalog/view/sales-professional-7-1-%28americas%29/
Store Manager Solution,"The Store Manager solution is an assessment used for job candidates applying to entry-level leadership positions who tend to supervise hourly employees. Sample tasks for these jobs include, but are not limited to: planning and preparing work schedules, assigning employees to specific duties; coaching employees on attendance, conduct, schedule adherence, and work tasks, developing employees' skills ; training subordinates; prioritizing multiple tasks and priorities; and making day-to-day decisions with minimal guidance from others. Potential job titles that use this solution are: Store Manager, First Line Supervisor, Retail Manager, Restaurant Manager, and Customer Service Supervisor. Multiple configuration options of this solution are available.","Manager, Supervisor,","English (USA),",49,"A, B, P",True,https://www.shl.com/products/product-catalog/view/store-manager-solution/
Stock Clerk Solution,"The Stock Clerk solution is for entry-level retail positions in which employees work primarily in the stockroom handling incoming and outgoing shipment and keeping the sales floor fully stocked. Sample tasks for these jobs include, but are not limited to: unload product shipment, maintain stockroom organization, replenish supplies and products on the sales floor, and process outgoing shipments. Potential job titles that use this solution are: Stock Clerk, Inventory Associate, and Warehouse Associate. Multiple configurations of this solution are available.","Entry-Level,","English (USA),",25,"A, B, P",True,https://www.shl.com/products/product-catalog/view/stock-clerk-solution/
